,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
117,100.0,28.57,95.25,72.14,76.5,87.43,18.75,-15.29,171.75,159.57,46.75,35.57,36.25,43.29,10.5,-7.71,109,85,26,29,29,25,23,18,18,26,Super League 1
118,60.0,100.0,91.4,90.33,82.2,78.67,9.2,11.67,173.6,169.0,43.6,39.33,38.8,32.0,4.8,7.33,81,83,10,26,23,22,18,19,23,23,Ligat Ha'al
119,100.0,0.0,90.0,82.0,82.0,90.0,8.0,-8.0,172.0,172.0,42.0,46.0,46.0,42.0,-4.0,4.0,90,82,16,26,22,26,20,26,20,16,ABL Cup
120,60.0,25.0,79.3,80.0,77.7,86.63,1.6,-6.63,157.0,166.63,36.3,36.5,37.3,41.38,-1.0,-4.88,91,72,21,21,20,29,8,11,15,38,KBL
121,36.36,54.55,76.82,79.91,78.45,81.27,-1.64,-1.36,155.27,161.18,36.45,39.09,39.55,38.91,-3.09,0.18,82,86,18,18,25,21,24,19,23,20,KBL
122,0.0,100.0,80.0,90.0,90.0,80.0,-10.0,10.0,170.0,170.0,44.0,47.0,47.0,44.0,-3.0,3.0,80,90,16,28,18,18,23,24,20,23,Kup Krešimir Ćosić
123,100.0,71.43,73.75,71.86,54.75,64.71,19.0,7.14,128.5,136.57,39.0,33.29,28.75,35.43,10.25,-2.14,62,56,18,18,13,13,5,17,12,22,Liga Femenina 2
124,66.67,16.67,75.5,62.5,69.33,72.33,6.17,-9.83,144.83,134.83,39.5,31.83,35.33,35.83,4.17,-4.0,52,63,16,13,13,10,16,19,18,10,VTB-Youth League
125,70.0,33.33,72.2,74.5,63.3,74.0,8.9,0.5,135.5,148.5,37.1,34.17,27.7,36.42,9.4,-2.25,70,76,22,12,17,19,22,10,14,30,VTB-Youth League
126,12.5,50.0,60.38,66.83,77.13,71.0,-16.75,-4.17,137.5,137.83,35.0,33.17,38.0,38.67,-3.0,-5.5,68,77,25,12,15,16,22,20,18,17,VTB-Youth League
127,66.67,25.0,72.17,59.13,71.83,67.88,0.33,-8.75,144.0,127.0,33.83,28.75,35.83,32.0,-2.0,-3.25,66,51,11,16,21,18,11,11,15,14,VTB-Youth League
128,50.0,50.0,114.0,111.5,111.5,114.0,2.5,-2.5,225.5,225.5,55.0,52.0,52.0,55.0,3.0,-3.0,116,107,36,22,30,28,26,26,30,25,NBA
129,100.0,0.0,119.0,114.0,114.0,119.0,5.0,-5.0,233.0,233.0,68.0,50.0,50.0,68.0,18.0,-18.0,119,114,38,30,22,29,20,30,34,30,NBA
130,50.0,50.0,91.5,90.5,90.5,91.5,1.0,-1.0,182.0,182.0,49.5,45.0,45.0,49.5,4.5,-4.5,99,91,31,21,23,24,20,22,33,16,NBA
131,50.0,50.0,104.0,108.0,108.0,104.0,-4.0,4.0,212.0,212.0,50.5,62.0,62.0,50.5,-11.5,11.5,104,91,30,23,20,31,31,25,23,12,NBA
132,100.0,0.0,109.0,93.5,93.5,109.0,15.5,-15.5,202.5,202.5,56.5,54.5,54.5,56.5,2.0,-2.0,131,106,39,31,33,28,29,34,23,20,NBA
133,50.0,50.0,116.5,111.5,111.5,116.5,5.0,-5.0,228.0,228.0,61.5,60.0,60.0,61.5,1.5,-1.5,106,121,21,30,33,22,30,28,29,34,NBA
134,75.0,0.0,81.5,81.33,72.75,94.0,8.75,-12.67,154.25,175.33,41.5,44.0,38.75,51.67,2.75,-7.67,,,,,,,,,,,Eurocup
135,66.67,50.0,94.33,74.75,79.33,86.25,15.0,-11.5,173.67,161.0,44.67,36.75,42.33,43.25,2.33,-6.5,101,66,27,22,29,23,21,17,14,14,LNB Pro A
136,0.0,40.0,65.2,80.8,78.6,80.0,-13.4,0.8,143.8,160.8,31.0,40.2,41.2,37.4,-10.2,2.8,75,90,24,17,18,16,21,30,20,19,TBL
137,60.0,33.33,92.8,81.17,91.0,96.0,1.8,-14.83,183.8,177.17,48.8,40.33,44.4,47.33,4.4,-7.0,110,86,27,34,24,25,24,19,14,29,United League
138,0.0,0.0,77.67,61.8,94.0,85.0,-16.33,-23.2,171.67,146.8,37.67,34.4,50.33,42.8,-12.67,-8.4,20,0,,,,,,,,,Adriatic League
139,16.67,14.29,84.5,71.86,87.67,87.0,-3.17,-15.14,172.17,158.86,38.67,34.14,41.83,41.71,-3.17,-7.57,102,67,19,19,36,28,14,16,19,18,PLK
140,33.33,66.67,78.0,72.0,87.0,78.33,-9.0,-6.33,165.0,150.33,41.0,38.67,43.33,38.33,-2.33,0.33,,,,,,,,,,,LEB Oro
